,DATETIME,Level
6601.728027,2017-09-01T06:08:00,6601.728027
6610.714795,2017-09-01T06:09:00,6610.714795
6615.38374,2017-09-01T06:10:00,6615.38374
6619.749748,2017-09-01T06:11:00,6619.749748
6626.552637,2017-09-01T06:12:00,6626.552637
6632.97417,2017-09-01T06:13:00,6632.97417
6637.124414,2017-09-01T06:14:00,6637.124414
6645.601473,2017-09-01T06:15:00,6645.601473
6653.779883,2017-09-01T06:16:00,6653.779883
6658.507654,2017-09-01T06:17:00,6658.507654
6663.622217,2017-09-01T06:18:00,6663.622217
6669.867773,2017-09-01T06:19:00,6669.867773
6675.57998,2017-09-01T06:20:00,6675.57998
6682.573877,2017-09-01T06:21:00,6682.573877
6689.240186,2017-09-01T06:22:00,6689.240186
6697.644541,2017-09-01T06:23:00,6697.644541
6701.593701,2017-09-01T06:24:00,6701.593701
6706.764856,2017-09-01T06:25:00,6706.764856
6713.403281,2017-09-01T06:26:00,6713.403281
6720.851927,2017-09-01T06:27:00,6720.851927
6727.005469,2017-09-01T06:28:00,6727.005469
6736.631602,2017-09-01T06:29:00,6736.631602
6741.248047,2017-09-01T06:30:00,6741.248047
6745.171328,2017-09-01T06:31:00,6745.171328
6751.858822,2017-09-01T06:32:00,6751.858822
6758.397754,2017-09-01T06:33:00,6758.397754
6764.917896,2017-09-01T06:34:00,6764.917896
6772.93479,2017-09-01T06:35:00,6772.93479
6779.119121,2017-09-01T06:36:00,6779.119121
6784.475762,2017-09-01T06:37:00,6784.475762
6789.467611,2017-09-01T06:38:00,6789.467611
6796.128125,2017-09-01T06:39:00,6796.128125
6802.517949,2017-09-01T06:40:00,6802.517949
6807.909473,2017-09-01T06:41:00,6807.909473
6816.347331,2017-09-01T06:42:00,6816.347331
6820.419499,2017-09-01T06:43:00,6820.419499
6824.002246,2017-09-01T06:44:00,6824.002246
6827.468262,2017-09-01T06:45:00,6827.468262
6832.413516,2017-09-01T06:46:00,6832.413516
6837.041455,2017-09-01T06:47:00,6837.041455
6841.24082,2017-09-01T06:48:00,6841.24082
6844.32417,2017-09-01T06:49:00,6844.32417
6852.570176,2017-09-01T06:50:00,6852.570176
6859.438737,2017-09-01T06:51:00,6859.438737
6864.558285,2017-09-01T06:52:00,6864.558285
6866.643008,2017-09-01T06:53:00,6866.643008
6870.801172,2017-09-01T06:54:00,6870.801172
6875.335433,2017-09-01T06:55:00,6875.335433
6879.955729,2017-09-01T06:56:00,6879.955729
6884.223438,2017-09-01T06:57:00,6884.223438
6888.479805,2017-09-01T06:58:00,6888.479805
6898.319108,2017-09-01T06:59:00,6898.319108
6902.70459,2017-09-01T07:00:00,6902.70459
6906.698503,2017-09-01T07:01:00,6906.698503
6911.4361,2017-09-01T07:02:00,6911.4361
6913.6875,2017-09-01T07:03:00,6913.6875
6918.327295,2017-09-01T07:04:00,6918.327295
6923.284902,2017-09-01T07:05:00,6923.284902
6926.127676,2017-09-01T07:06:00,6926.127676
6935.242734,2017-09-01T07:07:00,6935.242734
6939.671094,2017-09-01T07:08:00,6939.671094
